"","state_GEOID","State","pop_s","pop_wra_s","pct_wra_hisplatino","pct_wra_black","pct_wra_white","pct_wra_asian","pct_wra_native","pct_wra_pacificisland","pct_wra_mixed","pct_wra_other","pop_wra_hisplatino","pop_wra_black","pop_wra_white","pop_wra_asian","pop_wra_native","pop_wra_pacificisland","pop_wra_mixed","pop_wra_other","pop_hisplatino_alone","pop_black_alone","pop_white_alone","pop_asian_alone","pop_native_alone","pop_pacificisland_alone","pop_mixed_alone","pop_other_alone","pct_pop_hisplatino_alone","pct_pop_black_alone","pct_pop_white_alone","pct_pop_asian_alone","pct_pop_native_alone","pct_pop_pacificisland_alone","pct_pop_mixed_alone","pct_pop_other_alone"
"27",30,"Montana",1050649,191193,4.72925264000251,0.5251238277552,86.1391368930871,1.51626890105809,7.35696390558232,0.108267562096939,3.63873154351885,0.715507366901508,9042,1004,164692,2899,14066,207,6957,1368,40314,4666,904550,8098,63738,776,27908,599,3.8370569048274,0.44410645229758,86.0944045061671,0.770761691107116,6.06653601726171,0.0738591099406177,2.65626293843139,0.0570123799670489
"28",31,"Nebraska",1914571,370726,12.4496258692404,5.58606625917794,84.5120115664939,3.54547563429595,0.995883752420925,0.112751735783301,2.7508186639189,2.49699238790913,46154,20709,313308,13144,3692,418,10198,9257,208271,89872,1512111,45303,14417,1107,41475,2015,10.8782071806164,4.69410640817186,78.9791028904125,2.36622198915579,0.753014644011635,0.0578197413415329,2.16628163698291,0.105245509307307
"29",32,"Nevada",2972382,583293,34.0441253366661,10.2912258504731,60.4173202832882,9.09302871798564,1.39809666839822,0.819656673404275,5.35322728028624,12.6274445261644,198577,60028,352410,53039,8155,4781,31225,73655,853041,259802,1463237,237588,27070,18162,103945,9537,28.6989020926651,8.74053200429824,49.2277574013031,7.99318526353611,0.910717397696528,0.611025097043381,3.49702696355987,0.320853779897739
"30",33,"New Hampshire",1348124,244089,4.9014908496491,1.89111348729357,90.9143795910508,3.96535689850833,0.215085481115495,0.0639111143886042,2.25655396187456,0.693599465768634,11964,4616,221912,9679,525,156,5508,1693,50493,18335,1214927,35971,1816,348,24751,1483,3.7454269785272,1.3600380973857,90.1198257727034,2.66822636493379,0.134705709563809,0.0258136491895404,1.83595871002964,0.110004717666921
"31",34,"New Jersey",8878503,1679341,23.4797459241452,15.3959201853584,62.4128750503918,11.430197916921,0.226219689747347,0.0570461865696127,2.8365293290642,7.64121164194765,394305,258550,1048125,191952,3799,958,47635,128322,1794736,1125541,4916380,834073,9813,2286,157042,38632,20.2143987561867,12.6771483886416,55.3739746441489,9.3942976648203,0.110525389246363,0.0257475837987553,1.76878917538238,0.43511839777494
"32",35,"New Mexico",2092454,397533,54.396993457147,2.02121584874715,71.694928471347,1.97895520623445,11.4352770713375,0.114204355361693,3.28350099237044,9.47191805460176,216246,8035,285011,7867,45459,454,13053,37654,1020817,37911,782269,30341,182874,1189,33198,3855,48.7856363867497,1.81179610161084,37.385242399594,1.45001992875351,8.73969033488908,0.0568232324342614,1.58655817523348,0.184233440735137
"33",36,"New York",19572319,3924385,21.1716740330013,17.1775450166077,58.8143110321745,10.1160818828938,0.412421309326175,0.0586843543638048,3.44690951575852,9.97404688887558,830858,674113,2308100,396994,16185,2303,135270,391420,3720983,2790504,10883812,1633539,46034,5689,385313,106445,19.0114569459041,14.2574009753264,55.6081882785581,8.34616991476585,0.235199518258414,0.0290665607892453,1.96866298776348,0.543854818634419
"34",37,"North Carolina",10264876,2023832,10.7648263294582,23.9991758209179,64.1456899584551,3.78529443155361,1.32797583989185,0.0895825345186755,2.86199645029825,3.79028496436463,217862,485703,1298201,76608,26876,1813,57922,76709,962665,2165301,6474688,290525,112504,5640,230591,22962,9.37824285456541,21.0942733258541,63.0761443197171,2.83028260643382,1.09600934292825,0.0549446481379804,2.24640804233777,0.223694860025586
"35",38,"North Dakota",756717,147270,4.56168941400149,3.53092958511577,84.1603856861547,2.23738711210701,5.79276159435051,0.177904529096218,2.58844299585795,1.51218849731785,6718,5200,123943,3295,8531,262,3812,2227,28317,21577,638985,10876,38482,863,16625,992,3.74208587886885,2.85139622870902,84.4417397785434,1.43726122183062,5.08538859309359,0.114045277164382,2.19699042046102,0.131092601329163
"36",39,"Ohio",11655397,2206822,4.51024142409311,14.0837820177613,78.2973434196324,3.12168357937342,0.201692750933242,0.040510743503554,3.06961775802489,1.18536973077122,99533,310804,1727883,68890,4451,894,67741,26159,443415,1425887,9197115,256584,16946,3193,292846,19411,3.80437491747385,12.2337059818726,78.9086377752727,2.20141793539937,0.145391872966661,0.0273950342489406,2.51253560904017,0.166540873725708
